Date,Code,Rev,Res
2020-01-16,HSE,0.0,0.0
2020-01-16,NG,2865.84,17.0
2020-01-16,OP,0.0,0.0
2020-01-16,OT,12087.71,96.0
2020-01-16,PK,310.25,2.0
2020-01-16,PSBY,0.0,0.0
2020-01-16,RA,0.0,0.0
2020-01-16,SP,5374.15,29.0
2020-01-16,WH,3009.5,26.0
2020-01-17,AR,0.0,0.0
2020-01-17,CO,0.0,1.0
2020-01-17,CS,0.0,0.0
2020-01-17,CT,0.0,0.0
2020-01-17,FIX,0.0,0.0
2020-01-17,GC,1686.88,13.0
2020-01-17,GE,0.0,0.0
2020-01-17,GL,0.0,0.0
2020-01-17,GS,0.0,0.0
2020-01-17,GV,0.0,0.0
2020-01-17,HSE,0.0,0.0
2020-01-17,NG,985.19,7.0
2020-01-17,OP,89.5,1.0
2020-01-17,OT,15232.4,134.0
2020-01-17,PK,398.35,3.0
2020-01-17,PSBY,0.0,0.0
2020-01-17,RA,428.0,2.0
2020-01-17,SP,5424.46,35.0
2020-01-17,WH,1550.45,15.0
2020-01-18,AR,0.0,0.0
2020-01-18,CO,0.0,0.0
2020-01-18,CS,0.0,0.0
2020-01-18,CT,0.0,0.0
2020-01-18,FIX,0.0,0.0
2020-01-18,GC,814.0,6.0
2020-01-18,GE,0.0,0.0
2020-01-18,GL,0.0,0.0
2020-01-18,GS,0.0,0.0
2020-01-18,GV,0.0,0.0
2020-01-18,HSE,0.0,0.0
2020-01-18,NG,648.07,5.0
2020-01-18,OP,0.0,0.0
2020-01-18,OT,21153.02,164.0
2020-01-18,PK,159.0,1.0
2020-01-18,PSBY,0.0,0.0
2020-01-18,RA,279.0,1.0
2020-01-18,SP,8502.75,49.0
2020-01-18,WH,1358.0,12.0
2020-01-19,AR,0.0,0.0
2020-01-19,CO,0.0,0.0
2020-01-19,CS,0.0,0.0
2020-01-19,CT,0.0,0.0
2020-01-19,FIX,0.0,0.0
2020-01-19,GC,427.0,3.0
2020-01-19,GE,0.0,0.0
2020-01-19,GL,0.0,0.0
2020-01-19,GS,0.0,0.0
2020-01-19,GV,0.0,0.0
2020-01-19,HSE,0.0,0.0
2020-01-19,NG,668.96,5.0
2020-01-19,OP,169.0,2.0
2020-01-19,OT,16938.75,159.0
2020-01-19,PK,282.3,2.0
2020-01-19,PSBY,0.0,0.0
2020-01-19,RA,0.0,0.0
2020-01-19,SP,4668.97,33.0
2020-01-19,WH,1218.0,12.0
2020-01-20,AR,0.0,0.0
2020-01-20,CO,0.0,0.0
2020-01-20,CS,281.56,2.0
2020-01-20,CT,0.0,0.0
2020-01-20,FIX,0.0,0.0
2020-01-20,GC,298.0,2.0
2020-01-20,GE,0.0,0.0
2020-01-20,GL,0.0,0.0
2020-01-20,GS,0.0,0.0
2020-01-20,GV,0.0,0.0
2020-01-20,HSE,0.0,0.0
2020-01-20,NG,2581.3,19.0
2020-01-20,OP,0.0,0.0
2020-01-20,OT,11116.28,100.0
2020-01-20,PK,189.65,2.0
2020-01-20,PSBY,0.0,0.0
2020-01-20,RA,0.0,0.0
2020-01-20,SP,3803.38,27.0
2020-01-20,WH,743.0,7.0
2020-01-21,AR,0.0,0.0
2020-01-21,CO,0.0,0.0
2020-01-21,CS,673.35,4.0
2020-01-21,CT,0.0,0.0
2020-01-21,FIX,104.5,1.0
2020-01-21,GC,298.0,2.0
2020-01-21,GE,0.0,0.0
2020-01-21,GL,0.0,0.0
2020-01-21,GS,0.0,0.0
2020-01-21,GV,489.0,3.0
2020-01-21,HSE,0.0,0.0
2020-01-21,NG,6839.19,42.0
2020-01-21,OP,0.0,0.0
2020-01-21,OT,15538.6,115.0
2020-01-21,PK,801.72,5.0
2020-01-21,PSBY,0.0,0.0
2020-01-21,RA,219.0,1.0
2020-01-21,SP,5845.55,35.0
2020-01-21,WH,684.0,6.0
2020-01-22,AR,0.0,0.0
2020-01-22,CO,0.0,0.0
2020-01-22,CS,1018.17,6.0
2020-01-22,CT,0.0,0.0
2020-01-22,FIX,0.0,0.0
2020-01-22,GC,298.0,2.0
2020-01-22,GE,0.0,0.0
2020-01-22,GL,0.0,0.0
2020-01-22,GS,0.0,0.0
2020-01-22,GV,489.0,3.0
2020-01-22,HSE,0.0,0.0
2020-01-22,NG,7013.89,43.0
2020-01-22,OP,200.0,4.0
2020-01-22,OT,15558.42,117.0
2020-01-22,PK,553.52,3.0
2020-01-22,PSBY,0.0,0.0
2020-01-22,RA,878.3,4.0
2020-01-22,SP,5749.39,35.0
2020-01-22,WH,1320.0,10.0
2020-01-23,AR,0.0,0.0
2020-01-23,CO,0.0,0.0
2020-01-23,CS,275.12,2.0
2020-01-23,CT,0.0,0.0
2020-01-23,FIX,99.0,1.0
2020-01-23,GC,298.0,2.0
2020-01-23,GE,0.0,0.0
2020-01-23,GL,0.0,0.0
2020-01-23,GS,0.0,0.0
2020-01-23,GV,485.2,3.0
2020-01-23,HSE,0.0,0.0
2020-01-23,NG,4631.33,31.0
2020-01-23,OP,350.0,7.0
2020-01-23,OT,15067.81,131.0
2020-01-23,PK,263.3,3.0
2020-01-23,PSBY,0.0,0.0
2020-01-23,RA,408.0,2.0
2020-01-23,SP,5442.83,36.0
2020-01-23,WH,1541.5,15.0
2020-01-24,AR,0.0,0.0
2020-01-24,CO,0.0,1.0
2020-01-24,CS,0.0,0.0
2020-01-24,CT,0.0,0.0
2020-01-24,FIX,198.5,2.0
2020-01-24,GC,169.0,1.0
2020-01-24,GE,0.0,0.0
2020-01-24,GL,0.0,0.0
2020-01-24,GS,951.0,6.0
2020-01-24,GV,485.2,3.0
2020-01-24,HSE,0.0,0.0
2020-01-24,NG,1038.19,7.0
2020-01-24,OP,665.0,13.0
2020-01-24,OT,17457.96,151.0
2020-01-24,PK,129.52,1.0
2020-01-24,PSBY,0.0,0.0
2020-01-24,RA,199.0,1.0
2020-01-24,SP,6516.59,44.0
2020-01-24,WH,1545.0,15.0
2020-01-25,AR,0.0,0.0
2020-01-25,CO,0.0,0.0
2020-01-25,CS,165.77,1.0
2020-01-25,CT,0.0,0.0
2020-01-25,FIX,219.0,2.0
2020-01-25,GC,0.0,0.0
2020-01-25,GE,0.0,0.0
2020-01-25,GL,0.0,0.0
2020-01-25,GS,951.0,6.0
2020-01-25,GV,0.0,0.0
2020-01-25,HSE,0.0,1.0
2020-01-25,NG,775.35,5.0
2020-01-25,OP,769.0,13.0
2020-01-25,OT,18066.52,152.0
2020-01-25,PK,129.52,1.0
2020-01-25,PSBY,0.0,0.0
2020-01-25,RA,0.0,0.0
2020-01-25,SP,7490.55,49.0
2020-01-25,WH,1854.0,16.0
2020-01-26,AR,0.0,0.0
2020-01-26,CO,0.0,0.0
2020-01-26,CS,260.19,2.0
2020-01-26,CT,0.0,0.0
2020-01-26,FIX,99.0,1.0
2020-01-26,GC,169.0,1.0
2020-01-26,GE,0.0,0.0
2020-01-26,GL,0.0,0.0
2020-01-26,GS,0.0,0.0
2020-01-26,GV,0.0,0.0
2020-01-26,HSE,0.0,1.0
2020-01-26,NG,1760.6,14.0
2020-01-26,OP,495.0,11.0
2020-01-26,OT,11380.73,117.0
2020-01-26,PK,500.37,5.0
2020-01-26,PSBY,0.0,0.0
2020-01-26,RA,139.0,1.0
2020-01-26,SP,2633.97,23.0
2020-01-26,WH,1089.0,11.0
2020-01-27,AR,0.0,0.0
2020-01-27,CO,0.0,0.0
2020-01-27,CS,493.26,3.0
2020-01-27,CT,0.0,0.0
2020-01-27,FIX,0.0,0.0
2020-01-27,GC,8706.0,54.0
2020-01-27,GE,0.0,0.0
2020-01-27,GL,0.0,0.0
2020-01-27,GS,0.0,0.0
2020-01-27,GV,0.0,0.0
2020-01-27,HSE,0.0,1.0
2020-01-27,NG,4878.78,29.0
2020-01-27,OP,600.0,12.0
2020-01-27,OT,13180.71,103.0
2020-01-27,PK,611.65,4.0
2020-01-27,PSBY,0.0,0.0
2020-01-27,RA,0.0,0.0
2020-01-27,SP,3778.6,22.0
2020-01-27,WH,812.0,8.0
2020-01-28,AR,8.56,0.0
2020-01-28,CO,0.0,0.0
2020-01-28,CS,723.56,4.0
2020-01-28,CT,0.0,0.0
2020-01-28,FIX,0.0,0.0
2020-01-28,GC,9193.0,57.0
2020-01-28,GE,0.0,0.0
2020-01-28,GL,0.0,0.0
2020-01-28,GS,0.0,0.0
2020-01-28,GV,0.0,0.0
2020-01-28,HSE,0.0,1.0
2020-01-28,NG,6503.75,36.0
2020-01-28,OP,0.0,0.0
2020-01-28,OT,14658.86,102.0
2020-01-28,PK,1138.34,6.0
2020-01-28,PSBY,0.0,0.0
2020-01-28,RA,0.0,0.0
2020-01-28,SP,4330.74,24.0
2020-01-28,WH,774.0,6.0
2020-01-29,AR,0.0,0.0
2020-01-29,CO,0.0,0.0
2020-01-29,CS,1400.89,8.0
2020-01-29,CT,0.0,0.0
2020-01-29,FIX,0.0,0.0
2020-01-29,GC,4264.0,26.0
2020-01-29,GE,0.0,0.0
2020-01-29,GL,0.0,0.0
2020-01-29,GS,159.0,1.0
2020-01-29,GV,0.0,0.0
2020-01-29,HSE,0.0,2.0
2020-01-29,NG,5440.85,32.0
2020-01-29,OP,289.0,3.0
2020-01-29,OT,16419.74,121.0
2020-01-29,PK,926.17,5.0
2020-01-29,PSBY,0.0,0.0
2020-01-29,RA,299.0,1.0
2020-01-29,SP,4727.11,26.0
2020-01-29,WH,1428.0,12.0
2020-01-30,AR,0.0,0.0
2020-01-30,CO,0.0,0.0
2020-01-30,CS,541.13,4.0
2020-01-30,CT,0.0,0.0
2020-01-30,FIX,0.0,0.0
2020-01-30,GC,1670.0,10.0
2020-01-30,GE,0.0,0.0
2020-01-30,GL,0.0,0.0
2020-01-30,GS,115.0,1.0
2020-01-30,GV,0.0,0.0
2020-01-30,HSE,0.0,0.0
2020-01-30,NG,1871.7,14.0
2020-01-30,OP,756.25,14.0
2020-01-30,OT,14569.58,132.0
2020-01-30,PK,619.12,5.0
2020-01-30,PSBY,0.0,0.0
2020-01-30,RA,577.0,3.0
2020-01-30,SP,3532.01,24.0
2020-01-30,WH,1753.0,17.0
2020-01-31,AR,0.0,0.0
2020-01-31,CO,0.0,0.0
2020-01-31,CS,124.22,1.0
2020-01-31,CT,0.0,0.0
2020-01-31,FIX,0.0,0.0
2020-01-31,GC,0.0,0.0
2020-01-31,GE,0.0,0.0
2020-01-31,GL,0.0,0.0
2020-01-31,GS,115.0,1.0
2020-01-31,GV,0.0,0.0
2020-01-31,HSE,0.0,0.0
2020-01-31,NG,841.59,7.0
2020-01-31,OP,1236.5,23.0
2020-01-31,OT,16712.54,149.0
2020-01-31,PK,499.57,4.0
2020-01-31,PSBY,0.0,0.0
2020-01-31,RA,856.0,4.0
2020-01-31,SP,5485.82,37.0
2020-01-31,WH,1842.0,18.0
2020-02-01,AR,0.0,0.0
2020-02-01,CO,0.0,0.0
2020-02-01,CS,131.57,1.0
2020-02-01,CT,0.0,0.0
2020-02-01,FIX,0.0,0.0
2020-02-01,GC,0.0,0.0
2020-02-01,GE,0.0,0.0
2020-02-01,GL,0.0,0.0
2020-02-01,GS,115.0,1.0
2020-02-01,GV,0.0,0.0
2020-02-01,HSE,0.0,0.0
2020-02-01,NG,1227.83,8.0
2020-02-01,OP,1708.5,28.0
2020-02-01,OT,18586.56,141.0
2020-02-01,PK,643.05,4.0
2020-02-01,PSBY,0.0,0.0
2020-02-01,RA,1324.0,6.0
2020-02-01,SP,6438.09,39.0
2020-02-01,WH,2300.0,20.0
2020-02-02,AR,0.0,0.0
2020-02-02,CO,0.0,0.0
2020-02-02,CS,327.38,3.0
2020-02-02,CT,0.0,0.0
2020-02-02,FIX,0.0,0.0
2020-02-02,GC,1110.0,6.0
2020-02-02,GE,0.0,0.0
2020-02-02,GL,0.0,0.0
2020-02-02,GS,129.0,1.0
2020-02-02,GV,0.0,0.0
2020-02-02,HSE,0.0,0.0
2020-02-02,NG,2349.4,18.0
2020-02-02,OP,480.0,9.0
2020-02-02,OT,12845.32,114.0
2020-02-02,PK,547.15,4.0
2020-02-02,PSBY,0.0,0.0
2020-02-02,RA,358.0,2.0
2020-02-02,SP,5838.21,44.0
2020-02-02,WH,2149.0,21.0
2020-02-03,AR,0.0,0.0
2020-02-03,CO,0.0,0.0
2020-02-03,CS,1197.06,7.0
2020-02-03,CT,0.0,0.0
2020-02-03,FIX,0.0,0.0
2020-02-03,GC,5341.0,29.0
2020-02-03,GE,0.0,0.0
2020-02-03,GL,0.0,0.0
2020-02-03,GS,0.0,0.0
2020-02-03,GV,0.0,0.0
2020-02-03,HSE,0.0,1.0
2020-02-03,NG,5856.05,35.0
2020-02-03,OP,228.99,2.0
2020-02-03,OT,15855.85,105.0
2020-02-03,PK,1325.87,7.0
2020-02-03,PSBY,0.0,0.0
2020-02-03,RA,916.0,4.0
2020-02-03,SP,6776.67,39.0
2020-02-03,WH,1665.0,15.0
2020-02-04,AR,0.0,0.0
2020-02-04,CO,0.0,0.0
2020-02-04,CS,585.77,3.0
2020-02-04,CT,0.0,0.0
2020-02-04,FIX,0.0,0.0
2020-02-04,GC,5490.0,30.0
2020-02-04,GE,0.0,0.0
2020-02-04,GL,0.0,0.0
2020-02-04,GS,0.0,0.0
2020-02-04,GV,0.0,0.0
2020-02-04,HSE,0.0,0.0
2020-02-04,NG,7781.15,45.0
2020-02-04,OP,259.0,2.0
2020-02-04,OT,18375.99,103.0
2020-02-04,PK,836.52,4.0
2020-02-04,PSBY,0.0,0.0
2020-02-04,RA,1365.0,5.0
2020-02-04,SP,8862.45,42.0
2020-02-04,WH,1527.0,13.0
2020-02-05,AR,0.0,0.0
2020-02-05,CO,0.0,0.0
2020-02-05,CS,726.45,4.0
2020-02-05,CT,0.0,0.0
2020-02-05,FIX,0.0,0.0
2020-02-05,GC,5142.0,28.0
2020-02-05,GE,0.0,0.0
2020-02-05,GL,0.0,0.0
2020-02-05,GS,0.0,0.0
2020-02-05,GV,0.0,0.0
2020-02-05,HSE,0.0,0.0
2020-02-05,NG,8314.34,47.0
2020-02-05,OP,348.5,5.0
2020-02-05,OT,18842.62,108.0
2020-02-05,PK,663.0,3.0
2020-02-05,PSBY,0.0,0.0
2020-02-05,RA,1524.0,6.0
2020-02-05,SP,7785.48,40.0
2020-02-05,WH,912.0,8.0
2020-02-06,AR,0.0,0.0
2020-02-06,CO,0.0,1.0
2020-02-06,CS,1025.67,6.0
2020-02-06,CT,0.0,0.0
2020-02-06,FIX,0.0,0.0
2020-02-06,GC,4362.0,24.0
2020-02-06,GE,0.0,0.0
2020-02-06,GL,0.0,0.0
2020-02-06,GS,0.0,0.0
2020-02-06,GV,0.0,0.0
2020-02-06,HSE,0.0,0.0
2020-02-06,NG,4870.96,29.0
2020-02-06,OP,640.0,10.0
2020-02-06,OT,17908.15,118.0
2020-02-06,PK,351.15,2.0
